soort	stratum	gewicht	aanwezig	relevant	onderzocht	totaal	bezoeken
Zanglijster	Suburbaan	0.025	115.3	39	68	201	2476
Zanglijster	Urbaan	0.056	263	55	87	416	3394
Zilvermeeuw	Heide en duin	0.032	6.6	3	91	199	204
Zilvermeeuw	Landbouw	0.806	222.2	15	426	6311	878
Zilvermeeuw	Moeras en water	0.05	12	7	80	137	453
Zilvermeeuw	Suburbaan	0.043	8.9	3	68	201	277
Zilvermeeuw	Urbaan	0.07	14.3	3	87	416	156
Zwarte kraai	Bos	0.038	216.6	129	190	319	8274
Zwarte kraai	Heide en duin	0.03	168.4	77	91	199	4665
Zwarte kraai	Landbouw	0.829	4755.5	321	426	6311	19732
Zwarte kraai	Moeras en water	0.018	102.8	60	80	137	3607
Zwarte kraai	Suburbaan	0.028	156.7	53	68	201	3117
Zwarte kraai	Urbaan	0.056	315.6	66	87	416	4077
Zwarte mees	Bos	0.441	112.5	67	190	319	4808
Zwarte mees	Heide en duin	0.189	45.9	21	91	199	1535
Zwarte mees	Landbouw	0.289	59.3	4	426	6311	372
Zwarte mees	Suburbaan	0.081	17.7	6	68	201	354
Zwarte roodstaart	Bos	0.006	11.8	7	190	319	504
Zwarte roodstaart	Heide en duin	0.009	17.5	8	91	199	576
Zwarte roodstaart	Landbouw	0.886	2059.2	139	426	6311	9650
Zwarte roodstaart	Moeras en water	0.013	27.4	16	80	137	1029
Zwarte roodstaart	Suburbaan	0.036	79.8	27	68	201	1702
Zwarte roodstaart	Urbaan	0.052	114.8	24	87	416	1666
Zwarte specht	Bos	0.437	107.5	64	190	319	4753
Zwarte specht	Heide en duin	0.267	63.4	29	91	199	2186
Zwarte specht	Landbouw	0.24	44.4	3	426	6311	293
Zwarte specht	Moeras en water	0.056	12	7	80	137	532
Zwartkop	Bos	0.048	230	137	190	319	8682
Zwartkop	Heide en duin	0.032	153.1	70	91	199	4395
Zwartkop	Landbouw	0.813	3940.7	266	426	6311	16908
Zwartkop	Moeras en water	0.021	97.6	57	80	137	3517
Zwartkop	Suburbaan	0.029	138.9	47	68	201	2881
Zwartkop	Urbaan	0.057	267.8	56	87	416	3469
