soort,frequentie,schatting,lcl,ucl,jaarlijks,looptijd,klasse,verloop,analysis,status
Havik,jaarlijks,0.924,0.895,0.954,-7.64% (-10.54%; -4.65%),-67% (-79%; -49%),--,lineair,bc181415bea9371a4c642ca7bc0a6fcad8538bac,f9475ff93f9f4d28172763cb38bdf8f8a034a46c
Heggenmus,driejaarlijks,0.981,0.976,0.985,-1.95% (-2.41%; -1.49%),-24% (-29%; -19%),-,lineair,1922a92842ef1698bd53d5f6686ee04f06ae4394,c006c32d13ee347eee6594832a0eea39f4d5ef53
Heggenmus,jaarlijks,0.981,0.977,0.986,-1.88% (-2.33%; -1.42%),-23.4% (-28.1%; -18.1%),-,niet-lineair,ae056eafc42582b8be95c32b79732001cb856920,4b35f4c783109abe260dad68c716c1628f7f1bfb
Holenduif,driejaarlijks,0.991,0.984,0.997,-0.95% (-1.56%; -0.33%),-12.5% (-19.7%; -4.6%),-~,niet-lineair,3867b586c0f68c9385543272465af3d99b934c97,8ebfd5caf3f3a238a64ef61cffc2920a4701dab2
Holenduif,jaarlijks,0.99,0.984,0.996,-1.01% (-1.63%; -0.41%),-13% (-21%; -6%),-~,niet-lineair,6f3133f50350f884ced2af3fb5aef026bd9ae74b,68a098db36394c06f19fb9bc51eb844a84016308
Houtduif,driejaarlijks,1.001,0.999,1.004,+0.13% (-0.13%; +0.38%),+1.8% (-1.8%; +5.5%),~,niet-lineair,81e1649d944e2abaafeda31edfa2355035efde5b,5b925ee5d0264c59dc341868ea8f422f7c5c9f85
Houtduif,jaarlijks,1.001,0.999,1.004,+0.12% (-0.13%; +0.37%),+1.7% (-1.8%; +5.3%),~,niet-lineair,fda7cc140433b43342bdae85e79721c57e124cf8,83fa0e00f9096d8fe9f660f1aca766e4712db65a
Huismus,driejaarlijks,0.975,0.971,0.979,-2.52% (-2.91%; -2.12%),-30.0% (-33.9%; -26.0%),--,niet-lineair,2b513b4f5ad33d32bfa70f0370254a6ee1082b6f,08a8c8f9e952516b7017971bac95c5cc1aaa950f
Huismus,jaarlijks,0.975,0.971,0.979,-2.48% (-2.87%; -2.09%),-29.6% (-33.5%; -25.6%),--,niet-lineair,baf121e0b8656d1eb972610b535cbb44209d7a4d,c068e21d5f793810e2dfc28023ead57db60751a8
Huiszwaluw,driejaarlijks,1.016,0.983,1.05,+1.6% (-1.7%; +5.0%),+20% (-20%; +100%),?+,niet-lineair,224130efeb7e4b1f096894719ecf8bb707a2e286,174a17740b565697e7e87a25b6762a7e45505fad
Huiszwaluw,jaarlijks,1.007,0.976,1.04,+0.7% (-2.4%; +4.0%),+10% (-30%; +70%),?,niet-lineair,e82a135fd22ec238ceb62a9b627ccd6ea404fcf4,3f37ee3e5c3d5b618527214dd55b3448455ae927
Kauw,driejaarlijks,1.054,1.049,1.059,+5.4% (+4.9%; +5.9%),+107.8% (+94.4%; +122.1%),++,niet-lineair,517160df16265b89f9bb07e32a80c7b7ca668724,9639f3b45c6682e191d8609459b3faac5e86d8cc
Kauw,jaarlijks,1.053,1.048,1.058,+5.32% (+4.82%; +5.81%),+106.5% (+93.4%; +120.6%),++,niet-lineair,d4c77e1d14ae5b4957967ca8c1c3e9728c916a7b,13e54b5f09e2eba6c60782fea237d76c77ec8383
Kievit,driejaarlijks,0.916,0.91,0.922,-8.4% (-9.0%; -7.8%),-70.8% (-73.4%; -67.9%),--,lineair,1590e8c7c6e311fefa6d65246e7c70c9fb2effad,2461fdc8b5fd7423633c0446cec2029abf6b23d0
Kievit,jaarlijks,0.917,0.911,0.923,-8.3% (-8.9%; -7.7%),-70.4% (-73.0%; -67.5%),--,niet-lineair,6fffde3d3ca95fcb874815c64ff94b6c16955551,0d772dc4fc2a8d61711fe46f1cd402e45a3ae36a
Kleine karekiet,driejaarlijks,1.003,0.99,1.016,+0.26% (-1.02%; +1.56%),+4% (-13%; +24%),~,mogelijk niet-lineair,25cc42148e1635020a82e812b7381a2a8e0106c4,a35a3e01902b8a47fec86a0037782b165a5e456c
Kleine karekiet,jaarlijks,1.001,0.989,1.014,+0.12% (-1.14%; +1.40%),+2% (-15%; +21%),~,niet-lineair,a711d9178b90437be667eae3de1369e8c0f799c9,95f7b1c7c442c68bc2bd4a5d1ff9c6b7e66d59ef
Kleine mantelmeeuw,driejaarlijks,1.162,1.103,1.225,+16% (+10%; +22%),+720% (+290%; +1610%),++,niet-lineair,69c767a9620dd7438869923aa47e2ee715646095,eba0fc069e5790dcd0f8dd5de56d251a359821f4
Kleine mantelmeeuw,jaarlijks,1.164,1.105,1.226,+16% (+11%; +23%),+740% (+310%; +1620%),++,niet-lineair,246228d9f8f822b899e5616db9befcb23e54ae7b,83502da6dede5332b841712b82f39dbd2b4ab303
Kneu,driejaarlijks,1.016,1.003,1.03,+1.6% (+0.3%; +3.0%),+25% (+4%; +51%),+,lineair,0aabd6fd9db9029c7496fbeb1bc0fb0ae5b133f8,6d4dac807674c37fd0d0f5659a8c9a71395c91ef
Kneu,jaarlijks,1.013,1,1.026,+1.3% (-0.0%; +2.6%),+19% (-1%; +44%),?+,niet-lineair,d830ca1e139f1e7eec0ee00f9f09e9891d99accd,d8e333040c4214b2399da31bd5f9b3ad24f6fdb4
Knobbelzwaan,driejaarlijks,1.069,1.039,1.1,+6.94% (+3.94%; +10.02%),+160% (+70%; +280%),++,niet-lineair,9c7d1e41f72fad87e03f6a5ff888be29d81aa095,95bb62766a29171a3bfe7d616d7d25edce6a142b
Knobbelzwaan,jaarlijks,1.07,1.04,1.101,+6.99% (+3.96%; +10.12%),+160% (+70%; +290%),++,niet-lineair,578e1b20c89ac830dfd11c4b139e68d6fbacde4d,515efeaaa637e1e822b616d0bad3a0aeb879d7ba
Koekoek,driejaarlijks,0.979,0.965,0.993,-2.1% (-3.5%; -0.7%),-26% (-39%; -10%),-,lineair,866cc4402b0b232c9b4be93e39801126dc4cc9f1,d18f5ef587bcb5f0053d575b621469b64bb23dbe
Koekoek,jaarlijks,0.979,0.966,0.993,-2.1% (-3.4%; -0.7%),-26% (-39%; -10%),-,niet-lineair,d5af72a30ef411ccfb9c9fca97c790119b3318be,44fc29dd2f83465562e7a503afab9a73cfbac569
Kokmeeuw,driejaarlijks,1.071,1.018,1.127,+7.1% (+1.8%; +12.7%),+160% (+30%; +440%),+,mogelijk niet-lineair,f66f2854fa0b1d79d01161ed316efad29e09b172,b7c8967529c332995392f17ac3eb8bb442cfa230
Kokmeeuw,jaarlijks,1.069,1.015,1.126,+6.9% (+1.5%; +12.6%),+150% (+20%; +420%),+,niet-lineair,28f4e70524e0ca46aa9576656c12b4d840668324,e6991734c71c10fb30e4c1655025de2b796911f2
Koolmees,driejaarlijks,0.992,0.989,0.996,-0.751% (-1.091%; -0.409%),-10.01% (-14.23%; -5.58%),-~,niet-lineair,091dc08ff5990fe54f2d9557974f02020bf13937,911a06090e17c8a6c1ba71f2b38c0dc6b0234427
Koolmees,jaarlijks,0.993,0.99,0.996,-0.707% (-1.045%; -0.369%),-9.46% (-13.67%; -5.05%),-~,niet-lineair,42109cd68c26d2ac4105d14d03e4c2f1bfa7795a,ac503ecaee8adc671daff32c7bcd7391988e0e09
Krakeend,driejaarlijks,1.092,1.038,1.148,+9.2% (+3.8%; +14.8%),+240% (+70%; +590%),++,niet-lineair,42c011f4f31c03b9ec233934121f65c4111fa76b,2211de8250deb17d1637835b7205e5a290ff92f1
Krakeend,jaarlijks,1.089,1.037,1.142,+8.9% (+3.7%; +14.2%),+230% (+70%; +550%),++,niet-lineair,0e92fae8fe7c76231eaf558c8cf5f8fa56fb8fed,e52d7b109d91e05ad65bfd7040f31c3933c8fd36
Kuifeend,driejaarlijks,1.03,0.984,1.077,+3.0% (-1.6%; +7.7%),+51% (-20%; +183%),?+,niet-lineair,bf88a54371db73c261371fb2e637d13ce8206785,d9da4317de07ce87f1b88e57b9e9c73d96073017
Kuifeend,jaarlijks,1.032,0.988,1.078,+3.2% (-1.2%; +7.8%),+56% (-15%; +186%),?+,niet-lineair,58f2c3ea16d9d638b29d829780757941203391cc,19da4005c945714384bc759415328c6bd1aea099
Kuifmees,driejaarlijks,0.984,0.969,1,-1.6% (-3.1%; +0.0%),-20% (-36%; +0%),?-,lineair,f69b37ad8540a0dbfd3fc40c8d60aa5a6508f9f6,f86f67b11ad9ac27cd25a47f2bfd9f27dd62b52e
Kuifmees,jaarlijks,0.988,0.972,1.004,-1.2% (-2.8%; +0.4%),-16% (-33%; +5%),?-,niet-lineair,ade11034f3ed08c12958da767b9b5dae6fd6fdfc,7f843af03eb1854e59ac65c8b6fc62fc84d9567e
Matkop,driejaarlijks,0.952,0.898,1.008,-4.8% (-10.2%; +0.8%),-50% (-78%; +12%),?-,lineair,d5c3046a4f0f50583496feb9ca310d52614e3c40,7520ef629b6566a684f40dbd8f50161391c82d28
Matkop,jaarlijks,0.953,0.9,1.009,-5% (-10%; +1%),-49% (-77%; +13%),?-,lineair,e91e8a340b20baa0999546d810d5c4837eb591de,de9e22aee9ddb6b0aceec35f9dcee007a2a938fb
Meerkoet,driejaarlijks,1.031,1.016,1.047,+3.1% (+1.6%; +4.7%),+54% (+25%; +91%),+,lineair,dff9b2bb6367795ff0b9b35bb874c3e7cc7108b5,d1c20ee0e5c7f24a660520f5b92e7c7968c14478
Meerkoet,jaarlijks,1.03,1.015,1.046,+3.0% (+1.5%; +4.6%),+51% (+22%; +87%),+,lineair,6c3c99d1c8385b73c99a47a3015e0d41446c3748,847e1d2a1b7341a21bc9893afac79fa63407d4bb
Merel,driejaarlijks,0.961,0.959,0.964,-3.85% (-4.08%; -3.62%),-42.3% (-44.2%; -40.3%),--,niet-lineair,b733258a64fc8382e6d92a4b8ebd4eb22cc9b553,11218dc721e71c6d4d008cbe90990e4d2ee9ea72
